id,State,name,rate2010,rate2011,rate2012,rate2013,rate2014,rate2015,rate2016
06031,CA,Kings County,"152,368","151,895","151,042","150,480","149,669","150,331","149,785"
06033,CA,Lake County,"64,743","64,242","63,942","63,776","64,099","64,446","64,116"
06035,CA,Lassen County,"34,838","34,288","33,662","32,144","31,714","31,333","30,870"
06037,CA,Los Angeles County,"9,825,473","9,888,476","9,953,555","10,015,436","10,066,615","10,112,255","199,999"
06039,CA,Madera County,"151,099","151,962","151,947","151,811","154,071","154,306","154,697"
06041,CA,Marin County,"252,946","255,457","256,064","258,506","260,516","261,054","260,651"
06043,CA,Mariposa County,"18,260","18,188","17,858","17,746","17,658","17,553","17,410"
06045,CA,Mendocino County,"87,807","87,442","87,409","87,207","87,449","87,353","87,628"
06047,CA,Merced County,"256,831","259,678","261,430","262,661","265,139","267,101","268,672"
06049,CA,Modoc County,"9,695","9,497","9,328","9,100","9,010","8,933","8,795"
06051,CA,Mono County,"14,246","14,407","14,325","14,020","14,045","13,885","13,981"
06053,CA,Monterey County,"416,415","421,157","425,799","428,064","429,902","432,007","435,232"
06055,CA,Napa County,"136,813","137,940","138,898","140,102","141,097","141,854","142,166"
06057,CA,Nevada County,"98,782","98,772","98,305","98,156","98,796","98,829","99,107"
06059,CA,Orange County,"3,017,647","3,053,884","3,084,935","3,112,576","3,134,438","3,156,573","199,999"
06061,CA,Placer County,"350,234","356,783","361,018","366,435","370,486","374,383","380,531"
06063,CA,Plumas County,"19,918","19,691","19,327","18,844","18,573","18,401","18,627"
06065,CA,Riverside County,"2,202,226","2,236,146","2,264,919","2,291,452","2,322,455","2,352,892","199,999"
06067,CA,Sacramento County,"1,422,018","1,435,002","1,447,236","1,460,023","1,478,137","1,496,644","199,999"
06069,CA,San Benito County,"55,554","56,159","56,799","57,471","58,098","58,473","59,414"
06071,CA,San Bernardino County,"2,041,562","2,062,945","2,077,247","2,087,945","2,105,935","2,122,545","199,999"
06073,CA,San Diego County,"3,104,346","3,140,692","3,181,513","3,218,419","3,258,856","3,290,245","199,999"
06075,CA,San Francisco County,"805,766","815,672","828,816","839,280","850,424","862,004","870,887"
06077,CA,San Joaquin County,"687,380","694,943","700,611","703,265","713,218","723,496","733,709"
06079,CA,San Luis Obispo County,"269,909","271,176","274,487","276,191","278,877","280,960","282,887"
06081,CA,San Mateo County,"719,935","728,919","739,982","748,952","756,819","763,191","764,797"
06083,CA,Santa Barbara County,"424,396","425,998","430,638","435,800","440,553","443,815","446,170"
06085,CA,Santa Clara County,"1,786,637","1,812,868","1,838,988","1,866,961","1,889,824","1,910,105","199,999"
06087,CA,Santa Cruz County,"263,270","264,896","266,435","268,948","270,971","273,627","274,673"
06089,CA,Shasta County,"177,320","177,963","178,430","179,062","179,717","179,301","179,631"
06091,CA,Sierra County,"3,220","3,106","3,076","3,039","2,983","2,983","2,947"
06093,CA,Siskiyou County,"44,936","44,673","44,147","43,632","43,476","43,483","43,603"
06095,CA,Solano County,"414,034","416,486","419,881","423,972","429,601","434,321","440,207"
06097,CA,Sonoma County,"484,817","487,641","490,509","494,657","499,168","501,474","503,070"
06099,CA,Stanislaus County,"515,342","518,073","521,360","524,744","529,754","535,385","541,560"
06101,CA,Sutter County,"94,806","94,614","94,362","94,801","95,236","95,978","96,651"
06103,CA,Tehama County,"63,571","63,254","63,133","62,835","62,756","63,073","63,276"
06105,CA,Trinity County,"13,765","13,716","13,500","13,430","13,121","13,068","12,782"
06107,CA,Tulare County,"443,083","447,384","450,701","453,354","456,115","458,238","460,437"
06109,CA,Tuolumne County,"55,182","54,749","54,134","53,940","53,827","53,615","53,804"
06111,CA,Ventura County,"825,320","830,707","834,519","839,498","844,078","847,719","849,738"
06113,CA,Yolo County,"201,122","202,167","204,929","206,685","208,737","212,202","215,802"
06115,CA,Yuba County,"72,346","72,548","72,901","73,233","73,776","74,299","75,275"
08001,CO,Adams County,"443,681","452,040","460,472","470,107","480,446","490,674","498,187"
08003,CO,Alamosa County,"15,927","16,137","16,141","16,253","16,284","16,435","16,654"
08005,CO,Arapahoe County,"574,785","585,836","596,066","607,660","618,307","629,241","637,068"
08007,CO,Archuleta County,"12,055","12,011","12,113","12,194","12,229","12,384","12,854"
08009,CO,Baca County,"3,790","3,814","3,762","3,682","3,630","3,599","3,568"
08011,CO,Bent County,"6,508","6,322","5,811","5,738","5,780","5,892","5,861"
08013,CO,Boulder County,"295,983","300,597","305,350","310,287","313,204","318,738","322,226"
08014,CO,Broomfield County,"56,275","57,425","58,930","60,116","61,786","64,885","66,529"
08015,CO,Chaffee County,"17,803","18,007","18,105","18,318","18,448","18,606","19,058"
